City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,55.99,86,84,1.01,broken clouds
1,Punta Arenas,CL,-53.15,-70.9167,55.4,44,0,28.77,clear sky
2,Port Hardy,CA,50.6996,-127.4199,46.4,87,75,6.91,broken clouds
3,Vaini,TO,-21.2,-175.2,78.8,94,75,6.91,broken clouds
4,Albany,US,42.6001,-73.9662,35.01,62,99,4.74,overcast clouds
5,Atuona,PF,-9.8,-139.0333,77.65,79,100,16.13,overcast clouds
6,Turukhansk,RU,65.8167,87.9833,-15.9,89,100,8.28,light snow
7,Torbay,CA,47.6666,-52.7314,30.99,80,90,6.91,overcast clouds
8,Hermanus,ZA,-34.4187,19.2345,71.01,82,86,8.01,overcast clouds
9,Lebu,CL,-37.6167,-73.65,58.51,58,3,21.54,clear sky
10,Port Elizabeth,ZA,-33.918,25.5701,69.8,88,90,10.36,overcast clouds
11,Bluff,NZ,-46.6,168.3333,55.99,86,100,1.01,overcast clouds
12,Waingapu,ID,-9.6567,120.2641,80.17,81,99,4.18,overcast clouds
13,Bambous Virieux,MU,-20.3428,57.7575,79.0,94,75,17.27,light rain
14,Leningradskiy,RU,69.3833,178.4167,-18.24,85,100,19.08,light snow
15,Port Alfred,ZA,-33.5906,26.891,68.0,95,100,1.01,overcast clouds
16,Hays,US,30.0502,-98.0336,51.01,59,41,6.42,scattered clouds
17,Rikitea,PF,-23.1203,-134.9692,78.19,77,0,17.05,clear sky
18,Dudinka,RU,69.4058,86.1778,12.85,96,100,9.04,light snow
19,Thompson,CA,55.7435,-97.8558,21.2,100,90,6.87,light snow
20,Iqaluit,CA,63.7506,-68.5145,5.0,72,75,2.3,broken clouds
21,Fortuna,US,40.5982,-124.1573,57.99,94,75,21.85,moderate rain
22,Lagoa,PT,39.05,-27.9833,61.23,85,100,15.37,light rain
23,Sanary-Sur-Mer,FR,43.1178,5.8001,48.99,61,89,11.99,overcast clouds
24,Bengkulu,ID,-3.8004,102.2655,75.9,83,100,5.48,moderate rain
25,Hualmay,PE,-11.0964,-77.6139,75.25,70,45,10.69,scattered clouds
26,Albox,ES,37.3886,-2.1495,43.0,64,0,1.99,clear sky
27,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,94,40,14.97,light rain
28,Busselton,AU,-33.65,115.3333,57.99,85,100,1.01,overcast clouds
29,Sola,VU,-13.8833,167.55,78.8,100,75,12.5,light rain
30,New Norfolk,AU,-42.7826,147.0587,55.99,70,7,2.24,clear sky
31,Victoria,HK,22.2855,114.1577,53.01,43,0,7.38,clear sky
32,Mar Del Plata,AR,-38.0023,-57.5575,71.6,40,20,11.5,light rain
33,Butaritari,KI,3.0707,172.7902,81.23,80,98,20.4,light rain
