City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,55.99,broken clouds,-46.1927,168.8643,Ellie's Villa
1,Punta Arenas,CL,55.4,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
2,Port Hardy,CA,46.4,broken clouds,50.6996,-127.4199,Airport Inn
3,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
5,Atuona,PF,77.65,overcast clouds,-9.8,-139.0333,Villa Enata
7,Torbay,CA,30.99,overcast clouds,47.6666,-52.7314,Gallows Cove
8,Hermanus,ZA,71.01,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
9,Lebu,CL,58.51,clear sky,-37.6167,-73.65,Hostal Las Lilas
10,Port Elizabeth,ZA,69.8,overcast clouds,-33.918,25.5701,39 On Nile Guest House
11,Bluff,NZ,55.99,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
12,Waingapu,ID,80.17,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
13,Bambous Virieux,MU,79.0,light rain,-20.3428,57.7575,Casa Tia Villa
15,Port Alfred,ZA,68.0,overcast clouds,-33.5906,26.891,The Halyards Hotel
16,Hays,US,51.01,scattered clouds,30.0502,-98.0336,Sinya on Lone Man Creek
17,Rikitea,PF,78.19,clear sky,-23.1203,-134.9692,Pension Maro'i
21,Fortuna,US,57.99,moderate rain,40.5982,-124.1573,Super 8 by Wyndham Fortuna
22,Lagoa,PT,61.23,light rain,39.05,-27.9833,Casa Das Faias
23,Sanary-Sur-Mer,FR,48.99,overcast clouds,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
24,Bengkulu,ID,75.9,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
25,Hualmay,PE,75.25,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
26,Albox,ES,43.0,clear sky,37.3886,-2.1495,Steve Conroy Los Olivos
27,Vila Franca Do Campo,PT,60.8,light rain,37.7167,-25.4333,Pestana Bahia Praia
28,Busselton,AU,57.99,overcast clouds,-33.65,115.3333,Observatory Guest House
29,Sola,VU,78.8,light rain,-13.8833,167.55,Leumerus Bungalows
30,New Norfolk,AU,55.99,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
31,Victoria,HK,53.01,clear sky,22.2855,114.1577,Mini Hotel Central
32,Mar Del Plata,AR,71.6,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
33,Butaritari,KI,81.23,light rain,3.0707,172.7902,Isles Sunset Lodge
34,Chuy,UY,69.57,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
35,La Rioja,ES,39.99,scattered clouds,42.25,-2.5,Casa Concejos
37,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Pirineos
38,Road Town,VG,80.6,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
39,Kapaa,US,71.6,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
40,Tasiilaq,GL,32.0,light snow,65.6145,-37.6368,The Red House
44,Bredasdorp,ZA,68.0,light rain,-34.5322,20.0403,Bredasdorp Country Manor
46,Geraldton,AU,69.8,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
47,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
49,Pundaguitan,PH,81.18,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
50,Cayenne,GF,80.6,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
51,Natal,BR,80.6,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
53,Jalu,LY,63.0,overcast clouds,29.0331,21.5482,صاحبة الفخامة
54,Winneba,GH,82.4,clear sky,5.3511,-0.6231,Windy Lodge & Beach Resort
55,Key Largo,US,75.0,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
59,Ponta Do Sol,PT,55.99,scattered clouds,32.6667,-17.1,Hotel do Campo
60,Riyadh,SA,51.8,clear sky,24.6877,46.7219,InterContinental Riyadh
63,Hilo,US,73.4,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
64,Dwarka,IN,70.36,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
66,Wilmington,US,48.99,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
67,Kununurra,AU,80.6,few clouds,-15.7667,128.7333,Hotel Kununurra
69,Garissa,KE,82.76,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
70,Ushuaia,AR,51.8,scattered clouds,-54.8,-68.3,Albatros Hotel
71,Laguna,US,54.0,haze,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
72,Hithadhoo,MV,81.32,overcast clouds,-0.6,73.0833,Scoop Guest House
73,Mehran,IR,42.8,clear sky,33.1222,46.1646,بوتیک زنانه بهار
74,Avarua,CK,82.4,broken clouds,-21.2078,-159.775,Paradise Inn
75,Georgetown,MY,78.01,few clouds,5.4112,100.3354,Cititel Penang
76,Hobart,AU,55.99,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
78,Banda,IN,49.42,clear sky,25.4833,80.3333,Hotel Comfort-Inn
79,Tandil,AR,78.01,clear sky,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
80,Chenzhou,CN,38.41,clear sky,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
81,Port Lincoln,AU,59.94,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
82,Wrexham,GB,34.0,clear sky,53.0,-3.0,"Wynnstay Arms, Ruabon"
84,Saint George,US,37.4,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
85,Fallon,US,39.2,overcast clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
87,Rio Grande,BR,73.4,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
88,Sao Miguel Do Araguaia,BR,85.19,light rain,-13.275,-50.1628,Hotel Executivo Palace
90,Buala,SB,78.49,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
92,Nanortalik,GL,32.29,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
93,Wairoa,NZ,64.99,clear sky,-39.0333,177.3667,Riverside Motor Camp
95,Faanui,PF,81.32,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
97,Wadi Maliz,TN,50.0,scattered clouds,36.4681,8.5495,HOPITAL
99,Tyler,US,50.0,clear sky,32.3513,-95.3011,Holiday Inn Express & Suites Tyler North
101,Hofn,IS,31.57,overcast clouds,64.2539,-15.2082,Hótel Höfn
102,Airai,TL,61.79,overcast clouds,-8.9266,125.4092,Juvinal Martin
103,Charleston,US,53.01,overcast clouds,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
105,Carnarvon,AU,75.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
106,Cidreira,BR,75.06,overcast clouds,-30.1811,-50.2056,Hotel Castelo
107,Papar,MY,77.0,few clouds,5.7333,115.9333,Koposizon Homestay
108,Nieuw Amsterdam,SR,86.0,scattered clouds,5.8833,-55.0833,Hotel Stardust
111,Arraial Do Cabo,BR,84.2,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
112,Alwar,IN,50.34,clear sky,27.5667,76.6,Hotel Aravali
113,Te Anau,NZ,56.32,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
115,Poum,NC,81.95,light rain,-20.2333,164.0167,Gîte kajeon
116,Constitucion,CL,67.06,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
122,Saint-Philippe,RE,78.8,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
123,Naze,JP,49.59,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
124,Narsaq,GL,41.0,broken clouds,60.9167,-46.05,Hotel Narsaq
125,Coihueco,CL,77.0,clear sky,-36.6167,-71.8333,Frutillares Coihueco
126,Qaqortoq,GL,41.0,broken clouds,60.7167,-46.0333,Hotel Qaqortoq
127,Arica,CL,75.2,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
128,Cabra,ES,41.0,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
129,Kaitangata,NZ,60.01,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
130,El Astillero,ES,48.0,broken clouds,43.4009,-3.8205,San Juan
131,Rongcheng,CN,35.47,clear sky,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
134,Lujan,AR,80.01,clear sky,-34.5703,-59.105,Hotel Biarritz
135,Isangel,VU,81.82,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
137,Kavaratti,IN,79.27,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
139,Takapau,NZ,60.01,scattered clouds,-40.0333,176.35,ray and Anneke Vandenberg
140,East London,ZA,69.8,light rain,-33.0153,27.9116,Tu Casa
141,San Patricio,US,46.4,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
142,Mount Isa,AU,80.6,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
143,Da Lat,VN,47.1,clear sky,11.9465,108.4419,YK Home Villa Dalat
144,Lompoc,US,62.01,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
148,Brainerd,US,30.99,clear sky,46.358000000000004,-94.2008,Holiday Inn Express & Suites Brainerd-Baxter
149,Quarai,BR,79.32,overcast clouds,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
150,Sompeta,IN,71.08,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
151,Tuatapere,NZ,55.99,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
153,Acarau,BR,82.13,overcast clouds,-2.8856,-40.12,castelo pizzaria
154,Puerto Ayora,EC,82.4,broken clouds,-0.7393,-90.3518,Castillo Galapagos
155,Nhulunbuy,AU,80.6,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
157,Elizabeth City,US,50.0,scattered clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
158,Rincon,US,50.0,overcast clouds,32.296,-81.2354,Bent tree subdivision
159,Kampong Chhnang,KH,62.91,clear sky,12.1667,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
161,Vestmannaeyjar,IS,37.4,broken clouds,63.4427,-20.2734,Glamping & Camping
164,Castro,BR,78.82,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
167,Mastic Beach,US,44.01,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
169,Cape Town,ZA,73.4,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
170,Westport,US,42.01,clear sky,41.1415,-73.3579,Norwalk Inn
171,Mayo,US,48.0,clear sky,38.8876,-76.5119,Resorts Resource Group International
172,Vila,PT,45.0,clear sky,42.0304,-8.1588,Hotel Castrum Villae
173,Lorengau,PG,83.08,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
174,Bathsheba,BB,82.4,broken clouds,13.2167,-59.5167,Atlantis Hotel
175,Americus,US,50.0,overcast clouds,32.0724,-84.2327,Best Western Plus Windsor Hotel
176,Rio Gallegos,AR,59.0,few clouds,-51.6226,-69.2181,Hotel Santa Cruz
177,Porto Santo,PT,57.2,scattered clouds,33.071999999999996,-16.3415,Hotel Porto Santo & Spa
178,Manacapuru,BR,84.2,heavy intensity rain,-3.2997,-60.6206,Novo Hotel
179,Dunedin,NZ,60.01,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
180,Dhidhdhoo,MV,75.61,overcast clouds,6.8833,73.1,Dhidhoo beach
181,Burns Lake,CA,30.2,clear sky,54.2331,-125.7533,Burns Lake Bed and Breakfast
182,Conde,BR,84.2,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
183,Nchelenge,ZM,71.94,moderate rain,-9.3451,28.734,KD Travellers Home
185,Orleans,US,42.01,overcast clouds,30.0335,-89.9501,Holiday Inn Express New Orleans East
186,Pasni,PK,66.22,overcast clouds,25.2631,63.471000000000004,Kashmiri Hotal
187,Inhambane,MZ,82.4,scattered clouds,-23.865,35.3833,Oceano
188,Uribia,CO,86.68,scattered clouds,11.7139,-72.266,Hotel Uribia
189,Ahuimanu,US,77.0,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
190,Acapulco,MX,86.0,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
191,Danli,HN,73.4,broken clouds,14.0333,-86.5833,Cielo
192,Kodiak,US,35.6,light snow,57.79,-152.4072,Best Western Kodiak Inn and Convention Center
