City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sarkand,KZ,2021-01-09 22:02:07,45.41,79.9186,14.54,64,0,4.97
1,Castro,BR,2021-01-09 21:58:17,-24.7911,-50.0119,68.99,93,99,8.1
2,Hobart,AU,2021-01-09 22:01:00,-42.8794,147.3294,66.0,72,40,5.75
3,Kattivakkam,IN,2021-01-09 22:02:07,13.2167,80.3167,78.8,94,40,2.3
4,Punta Arenas,CL,2021-01-09 22:02:07,-53.15,-70.9167,51.8,66,75,17.27
5,Hermanus,ZA,2021-01-09 21:58:18,-34.4187,19.2345,64.99,91,90,1.99
6,Deputatskiy,RU,2021-01-09 22:02:08,69.3,139.9,-20.99,89,100,2.64
7,Businga,CD,2021-01-09 22:02:08,3.3333,20.8833,74.57,61,12,3.2
8,Santa Maria,BR,2021-01-09 22:02:08,-29.6842,-53.8069,86.63,37,33,4.65
9,Skibbereen,IE,2021-01-09 22:02:08,51.55,-9.2667,33.8,64,40,5.75
10,Torbay,CA,2021-01-09 22:02:08,47.6666,-52.7314,34.0,86,90,20.71
11,Port Alfred,ZA,2021-01-09 22:02:08,-33.5906,26.891,71.01,89,19,5.99
12,Tiksi,RU,2021-01-09 22:02:08,71.6872,128.8694,-18.45,88,100,7.87
13,Upernavik,GL,2021-01-09 22:02:08,72.7868,-56.1549,10.65,82,52,11.43
14,Chuy,UY,2021-01-09 22:02:08,-33.6971,-53.4616,69.12,64,99,12.33
15,Yerbogachen,RU,2021-01-09 21:58:29,61.2767,108.0108,-12.1,89,100,2.42
16,Carnarvon,AU,2021-01-09 22:02:08,-24.8667,113.6333,80.6,78,59,16.11
17,Lebu,CL,2021-01-09 22:02:08,-37.6167,-73.65,59.86,67,0,7.74
18,Atuona,PF,2021-01-09 21:58:26,-9.8,-139.0333,78.15,76,88,18.5
19,Arraial Do Cabo,BR,2021-01-09 21:58:25,-22.9661,-42.0278,80.6,78,40,3.44
20,Kodiak,US,2021-01-09 22:02:08,57.79,-152.4072,35.6,87,90,19.57
21,East London,ZA,2021-01-09 22:02:08,-33.0153,27.9116,75.29,76,39,20.74
22,Kimbe,PG,2021-01-09 22:02:08,-5.5502,150.1429,82.22,73,93,2.01
23,San Quintin,MX,2021-01-09 22:02:08,30.4833,-115.95,64.42,55,0,10.63
24,Ayorou,NE,2021-01-09 22:02:09,14.7308,0.9174,76.28,18,0,6.44
25,Salamiyah,SY,2021-01-09 22:02:09,35.0113,37.0532,52.23,43,89,11.54
26,Mulbagal,IN,2021-01-09 22:02:09,13.1667,78.4,63.32,95,76,3.94
27,Mizdah,LY,2021-01-09 22:02:09,31.4451,12.9801,69.3,26,0,16.69
28,Bukama,CD,2021-01-09 22:02:09,-9.2,25.85,68.72,94,99,0.56
29,Cockburn Town,TC,2021-01-09 22:02:02,21.4612,-71.1419,78.98,70,31,3.29
30,Tarnogskiy Gorodok,RU,2021-01-09 22:02:09,60.4997,43.5761,10.08,96,97,4.79
31,Khatanga,RU,2021-01-09 22:02:09,71.9667,102.5,-30.41,85,71,2.35
32,San Patricio,US,2021-01-09 22:02:09,28.017,-97.5169,57.2,72,40,11.5
33,Bilibino,RU,2021-01-09 22:02:09,68.0546,166.4372,-26.21,83,9,0.34
34,Dunedin,NZ,2021-01-09 22:02:09,-45.8742,170.5036,61.5,57,24,3.56
35,Miri,MY,2021-01-09 22:02:09,4.4148,114.0089,75.2,100,40,4.61
36,Puerto Ayora,EC,2021-01-09 22:02:09,-0.7393,-90.3518,84.2,58,0,19.57
